Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
KMI,13.41,-6.44,-0.34,0.95,13.4,-68.67%,-18.59%,Oils-Energy,30465096000,30.47,1,9.42,3/19/2020,22.58,12.73,29.75,40.61,Retail-Wholesale
KMX,48.6,-37.56,-10.33,5.16,10.15,-31.41%,44.53%,Retail-Wholesale,8201927000,8.2,0,37.59,3/18/2020,103.18,52.36,22.65,52.9,Consumer Staples
KO,43.83,-12.23,1.02,2.11,19.96,7.51%,-18.98%,Consumer Staples,1.88558E+11,188.56,1.64,36.27,3/23/2020,60.13,42.12,17.25,27.11,Retail-Wholesale
KR,32.29,2.95,3.16,2.2,13.86,-18.00%,12.74%,Retail-Wholesale,25298548000,25.3,0.64,20.7,7/23/2019,36.84,30.5,35.89,12.35,Retail-Wholesale
KSS,11.51,-25.92,-6.04,4.89,2.65,-85.06%,5.00%,Retail-Wholesale,1817931000,1.82,2.82,10.89,4/3/2020,75.91,12.94,5.39,84.84,Transportation
KSU,123,-29.27,-4.96,6.94,17.6,13.80%,11.21%,Transportation,11634271000,11.63,1.6,92.86,3/18/2020,178.59,122.13,24.5,31.13,Finance
L,32.7,-14.38,-1,3.56,9.17,-19.41%,4.23%,Finance,9548208000,9.55,0.25,28.52,3/23/2020,56.88,32.63,12.78,42.51,Retail-Wholesale
LB,11.34,-10.74,-1.25,2.28,4.49,-89.28%,12.75%,Retail-Wholesale,2806810000,2.81,1.2,8,3/17/2020,28.06,10.23,29.45,59.59,Aerospace
LDOS,87.94,-21.39,-5.5,5.16,16.89,108.00%,119.12%,Aerospace,12571899000,12.57,1.36,63.63,4/10/2019,125.84,87.15,27.64,30.12,Consumer Discretionary
LEG,22.72,-16.42,-5.23,2.57,9.5,-46.52%,25.65%,Consumer Discretionary,3199037000,3.2,1.6,22.03,3/23/2020,55.42,24.42,3.04,59,Construction
LEN,33.39,-30.85,-6.87,6.29,5.52,-33.82%,186.12%,Construction,10555974000,10.56,0.5,25.42,3/18/2020,71.38,34.73,23.87,53.22,Medical
LH,113.31,-67.73,-15.4,11.31,10.27,-7.98%,92.21%,Medical,11287774000,11.29,0,98.02,3/19/2020,196.36,116.17,13.49,42.29,Aerospace
LHX,178.5,-20.18,-6.5,9.98,17.75,126.57%,152.92%,Aerospace,39804756000,39.8,3.4,142.01,3/23/2020,230.99,177.17,20.44,22.72,Oils-Energy
ECL,147.26,-46.66,-10.22,5.82,25.21,30.77%,4.38%,Basic Materials,43847336000,43.85,1.88,124.6,3/23/2020,211.24,146.7,15.39,30.29,Utilities
LKQ,17.35,-11.38,-4.01,2.36,8.11,-28.37%,85.55%,Auto-Tires-Trucks,5685310000,5.69,0,13.31,3/23/2020,36.63,19.13,23.29,52.63,Medical
