Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,Low,High,Sector
WU,17.72,-5.33,-2.02,1.71,10.29,-13.43%,-5.62%,Business Services,7374228000,7.37,0.9,17.39,4/1/2020,28.44,17.6,1.86,37.69,Construction
WY,15.34,-11.39,-1.86,0.38,42.42,-50.88%,-11.47%,Construction,11809021000,11.81,1.36,13.1,3/23/2020,31.58,16.12,14.6,51.42,Consumer Discretionary
WYNN,48.5,-53.94,-14.81,2.6,20.77,-61.28%,21.67%,Consumer Discretionary,5662867000,5.66,4,35.84,3/18/2020,153.41,54,26.1,68.39,Utilities
XEL,57.86,-7.85,-0.91,2.64,22,74.27%,-1.34%,Utilities,31700500000,31.7,1.72,46.58,3/23/2020,72.14,58.08,19.5,19.79,Computers and Technology
XLNX,79.08,-2.72,3.86,3.53,21.73,80.58%,28.39%,Computers and Technology,19695450000,19.7,1.48,67.68,3/12/2020,141.6,76.69,14.42,44.15,Oils-Energy
XOM,39.21,-12.09,2.26,2.37,15.84,-52.78%,-35.69%,Oils-Energy,1.70981E+11,170.98,3.48,30.11,3/23/2020,83.49,37.53,23.21,53.04,Medical
XRAY,35.45,-11.76,-2.48,2.45,15.23,-27.52%,37.86%,Medical,8297320000,8.3,0.4,31.58,3/23/2020,60.87,37.31,10.92,41.76,Industrial Products
XRX,16.9,-14.97,-0.76,4.31,4.08,-47.11%,-53.60%,Industrial Products,3932341000,3.93,1,15.01,3/19/2020,39.47,17.6,11.18,57.18,Industrial Products
XYL,60.5,-19.38,-5,3.02,19.79,80.11%,34.04%,Industrial Products,11426139000,11.43,1.04,54.62,3/23/2020,89.34,59.77,9.72,32.28,Retail-Wholesale
YUM,63.3,-28.01,-5.23,3.55,19.06,14.73%,-57.85%,Retail-Wholesale,19869294000,19.87,1.88,54.95,3/23/2020,119.72,67.65,13.19,47.13,Medical
ZBH,92.01,-41.85,-2.93,7.87,11.39,-21.06%,70.80%,Medical,19135716000,19.14,0.96,74.37,3/18/2020,161.11,89.63,19.17,42.89,Industrial Products
ZBRA,178.08,-31.23,-6.49,12.07,14.62,82.53%,168.47%,Industrial Products,9410353000,9.41,0,150.06,3/16/2020,260.4,176.46,15.73,31.61,Finance
ZION,24.68,-14.22,-2.9,4.34,5.83,-7.10%,37.41%,Finance,4164290000,4.16,1.36,23.58,3/23/2020,52.48,25.32,4.46,52.97,Medical
ZTS,114.61,-22.63,2.84,3.64,30.75,145.98%,30.83%,Medical,55106592000,55.11,0.8,90.14,3/23/2020,146.26,111.92,21.35,21.64,
