Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
AVGO,"Broadcom Ltd",265.88,Soft,Weak,Strengthening,4.67,+2.31%,-2.68%,+14.09%,22.15%,122.49%,282.64%,429.33%
AVY,"Avery Dennison Corp",109.36,Soft,Weak,Strengthening,3.91,+3.75%,+2.38%,+1.37%,33.87%,110.67%,112.22%,11.69%
AWK,"American Water Works",131.76,Soft,Weak,Weakening,3.43,+3.10%,unch,-3.17%,63.66%,137.62%,48.56%,19.88%
AXP,"American Express Company",87.39,Weak,Soft,Strengthening,4,+0.48%,+0.98%,+0.50%,9.80%,12.05%,46.43%,30.61%
AZO,Autozone,991.8,Average,Weak,Strengthening,4.14,+4.46%,+4.39%,N/A,40.13%,41.28%,100.92%,25.21%
BA,"Boeing Company",154,Weak,Soft,Strongest,3.4,-28.92%,+57.84%,+1.61%,-14.62%,3.77%,-140.35%,-15.65%
BAC,"Bank of America Corp",23.28,Weak,Soft,Strengthening,3.88,+8.82%,+10.29%,+5.71%,2.51%,48.85%,583.72%,19.34%
BAX,"Baxter International Inc",92.95,Strong,Average,Strongest,4.4,N/A,+9.88%,+11.76%,75.78%,140.41%,-32.45%,-31.85%
BBY,"Best Buy Company",70.4,Soft,Weak,Strengthening,3.82,+8.65%,+9.09%,+15.91%,39.02%,98.93%,133.46%,8.18%
BDX,"Becton Dickinson and Company",261.4,Maximum,Average,Strengthening,4.06,+0.30%,+0.98%,+0.78%,41.08%,81.11%,79.69%,104.71%
BEN,"Franklin Resources",16.34,Weak,Average,Weakest,2.86,-6.15%,+3.17%,+12.50%,-60.16%,-68.45%,-33.51%,-32.00%
BF.B,"Brown Forman Inc Cl B",63.97,Average,Weak,Strongest,2.83,+11.32%,+5.41%,+13.79%,72.85%,75.09%,41.80%,11.13%
BIIB,"Biogen Inc",342.55,Strong,Strong,Strongest,3.63,+10.88%,+20.71%,+1.60%,25.50%,-7.42%,143.44%,48.18%
BK,"Bank of New York Mellon Corp",37.39,Soft,Weak,Strongest,3.25,+2.02%,+8.08%,+7.45%,-20.02%,-11.12%,68.20%,29.76%
BKNG,"Booking Holdings Inc",1470.87,Soft,Weak,Strengthening,3.75,+1.09%,+3.46%,-0.80%,-16.05%,19.28%,104.77%,78.47%
BKR,"Baker Hughes A Ge Co. Cl A",13.03,Weak,Weak,Weakening,4.63,-12.50%,+5.26%,+7.14%,-67.53%,-72.49%,-79.86%,-2.90%
BLK,Blackrock,476.87,Soft,Weak,Strongest,4.5,+8.74%,+2.88%,-1.69%,26.14%,27.85%,47.26%,31.21%
BLL,"Ball Corp",70.2,Soft,Weak,Strongest,4.18,-4.11%,-1.54%,-2.00%,90.55%,88.30%,30.41%,33.89%
BMY,"Bristol-Myers Squibb Company",60.6,Average,Weak,Strengthening,4.23,+10.38%,+11.32%,+0.92%,13.31%,-7.90%,153.51%,64.65%
BR,"Broadridge Financial Solutions Llc",109.94,Average,Weak,Strongest,4,-5.56%,unch,+6.71%,60.59%,101.43%,107.11%,70.53%
BRK.B,"Berkshire Hathaway Cl B",191.2,Soft,Weak,Strengthening,4.6,+15.47%,-7.75%,-5.44%,17.01%,34.56%,45.75%,30.79%
BSX,"Boston Scientific Corp",38.29,Average,Soft,Strongest,4.82,+2.63%,+2.63%,-2.78%,54.02%,108.78%,88.10%,45.46%
BWA,"Borgwarner Inc",26.98,Soft,Weak,Weakening,4.4,+12.94%,unch,+6.38%,-31.71%,-55.62%,27.08%,22.43%
BXP,"Boston Properties",95.5,Weak,Soft,Weakening,4,-7.87%,+2.87%,+3.61%,-28.92%,-30.73%,16.61%,23.51%
C,"Citigroup Inc",45.45,Weak,Soft,Strengthening,4.62,+4.40%,+1.02%,+2.81%,-21.26%,-14.08%,112.32%,14.22%
CAG,"Conagra Brands Inc",33.58,Strong,Strong,Weakening,4.14,+10.53%,+10.26%,-14.29%,-17.41%,15.01%,-7.37%,-46.12%
CAH,"Cardinal Health",51.23,Soft,Weak,Strengthening,3.36,+16.51%,+19.35%,+11.19%,-29.34%,-43.94%,37.50%,59.78%
CARR,"Carrier Global Corporation [Carr/I]",13.74,N/A,N/A,N/A,3,N/A,N/A,N/A,0.00%,0.00%,0.00%,0.00%
CAT,"Caterpillar Inc",116.3,Weak,Weak,Strengthening,3.2,-5.67%,-9.29%,+3.52%,23.30%,37.47%,73.35%,-2.51%
CB,"Chubb Ltd",118.79,Weak,Soft,Strengthening,3.67,+2.27%,+0.78%,+2.01%,-12.32%,9.47%,3.27%,78.32%
CBOE,"CBOE Global Markets Inc",102,Soft,Weak,Strengthening,4,+11.21%,+5.61%,+12.12%,22.91%,78.17%,107.46%,304.40%
CBRE,"CBRE Group Inc",44.5,Soft,Weak,Strengthening,3.83,+1.28%,+3.85%,+33.90%,29.44%,15.61%,120.83%,164.03%
