Symbol,Name,Last,"20D MA Str","50D MA Str","20D MA Dir","Analyst Rating","Surprise% 2-Qtrs Ago","Surprise% 3-Qtrs Ago","Surprise% 4-Qtrs Ago","3Y Return","5Y Return","5Y Earn%","5Y Rev%"
PCAR,"Paccar Inc",67.65,Average,Weak,Strengthening,3.59,+8.02%,-1.66%,+9.04%,2.87%,2.28%,79.84%,34.76%
PEAK,"Healthpeak Properties Inc.",26.26,Soft,Soft,Strengthening,4,+2.33%,+2.33%,+2.33%,-19.20%,-38.14%,-95.36%,-11.87%
PEG,"Public Service Enterprise Group Inc",54.62,Strong,Soft,Strengthening,3.85,+3.16%,-6.45%,+9.09%,22.71%,29.16%,18.84%,-7.44%
PEP,"Pepsico Inc",137.55,Average,Weak,Strengthening,4.2,+4.00%,+3.36%,+5.43%,21.26%,44.53%,19.44%,0.72%
PFE,"Pfizer Inc",36.91,Maximum,Soft,Strengthening,4,+19.05%,+3.90%,+10.39%,9.72%,4.65%,30.53%,4.32%
PFG,"Principal Financial Group Inc",30.53,Weak,Soft,Strengthening,3.67,-15.75%,+8.57%,+8.33%,-51.39%,-40.85%,26.53%,54.83%
PG,"Procter & Gamble Company",124.69,Strong,Soft,Strongest,4.62,+3.65%,+10.48%,+3.77%,40.70%,53.94%,7.11%,-18.51%
PGR,"Progressive Corp",82.5,Strong,Average,Strongest,4,+58.77%,+6.77%,+16.08%,109.50%,207.15%,226.21%,101.24%
PH,"Parker-Hannifin Corp",138.6,Weak,Soft,Strengthening,4.08,+4.55%,+7.12%,+5.32%,-11.33%,13.15%,70.75%,8.36%
PHM,Pultegroup,25.52,Weak,Soft,Strengthening,3.62,+9.78%,+4.88%,+25.53%,9.43%,26.84%,179.20%,75.41%
PKG,"Packaging Corp of America",90.84,Soft,Weak,Strongest,3.33,+1.05%,unch,+1.02%,-3.08%,29.77%,64.16%,18.99%
PKI,Perkinelmer,83.63,Average,Weak,Strongest,3.67,+4.95%,-0.99%,+4.55%,46.16%,61.92%,65.99%,28.90%
PLD,"Prologis Inc",90.22,Average,Soft,Strengthening,4.79,+4.30%,+1.32%,+1.39%,66.00%,111.98%,98.39%,89.15%
PM,"Philip Morris International Inc",77.96,Soft,Weak,Strengthening,4.42,+5.93%,+9.77%,+10.10%,-28.88%,-5.79%,-10.82%,-62.79%
PNC,"PNC Bank",101.5,Weak,Soft,Strongest,3.76,+1.71%,+5.00%,+1.77%,-14.11%,11.54%,56.03%,32.82%
PNR,"Pentair Ltd",31.66,Weak,Soft,Weakening,3.92,+5.45%,+4.55%,unch,-49.40%,-48.54%,-37.04%,-57.99%
PNW,"Pinnacle West Capital Corp",79.91,Weak,Weak,Weakening,3.29,-8.58%,-10.49%,-20.00%,-6.90%,25.35%,33.24%,-0.58%
PPG,"PPG Industries",93.31,Soft,Weak,Strengthening,3.94,+3.73%,+1.09%,+14.05%,-11.92%,-16.43%,27.46%,-1.39%
PPL,"PPL Corp",26.39,Soft,Weak,Strengthening,3.29,unch,+3.57%,-4.11%,-30.42%,-23.68%,0.00%,-32.44%
PRGO,"Perrigo Company",51.87,Soft,Weak,Weakening,3.7,+11.83%,+6.17%,+13.83%,-21.92%,-73.11%,-36.93%,5.07%
PRU,"Prudential Financial Inc",56.6,Weak,Soft,Strengthening,3.46,+4.55%,-2.48%,-4.46%,-46.43%,-29.94%,26.93%,19.78%
PSA,"Public Storage",196.48,Weak,Soft,Strengthening,3.29,-0.36%,+0.38%,unch,-13.96%,1.49%,38.86%,29.67%
PSX,"Phillips 66",59.53,Weak,Weak,Strengthening,4.6,+19.62%,+11.85%,+17.65%,-22.03%,-27.04%,21.60%,-33.45%
PVH,"Phillips-Van Heusen Corp",44.88,Weak,Soft,Strengthening,3.94,+3.33%,+11.11%,+0.82%,-54.33%,-57.02%,30.68%,20.24%
PWR,"Quanta Services",34.91,Soft,Weak,Strongest,5,+9.28%,-68.42%,+12.66%,-0.29%,19.23%,62.23%,54.27%
PXD,"Pioneer Natural Resources Company",76.63,Weak,Soft,Strengthening,4.52,-1.49%,+6.91%,+13.66%,-56.12%,-55.99%,72.57%,84.06%
PYPL,"Paypal Holdings",111.85,Strong,Soft,Strengthening,4.78,+20.00%,+21.43%,+23.40%,155.31%,0.00%,160.64%,121.46%
QCOM,"Qualcomm Inc",76.17,Average,Weak,Weakest,3.95,unch,+3.23%,+12.96%,45.09%,11.62%,-37.17%,-8.36%
QRVO,"Qorvo Inc",86.27,Soft,Weak,Weakening,4.22,+22.73%,+24.21%,+25.27%,22.96%,23.03%,0.00%,169.14%
RCL,"Royal Caribbean Cruises Ltd",37.39,Weak,Soft,Weakening,4,-0.93%,+3.67%,+18.02%,-61.58%,-48.41%,181.42%,35.63%
RE,"Everest Re Group",196.35,Weak,Soft,Strengthening,3.56,+63.77%,+17.87%,+9.68%,-15.99%,7.71%,-13.64%,42.15%
REG,"Regency Centers Corp",38.66,Weak,Average,Strengthening,4.14,+3.13%,-1.04%,+2.08%,-42.70%,-41.42%,-20.56%,110.66%
REGN,"Regeneron Pharmaceuticals",568.79,Maximum,Maximum,Strongest,4.09,+13.84%,+15.00%,-28.44%,53.68%,18.48%,190.14%,178.89%
RF,"Regions Financial Corp",9.52,Weak,Soft,Strengthening,3.78,+2.56%,unch,unch,-29.32%,-0.63%,96.20%,24.88%
RHI,"Robert Half International Inc",43.24,Soft,Weak,Strongest,3.33,unch,unch,-3.12%,-8.35%,-24.27%,72.57%,29.38%
RJF,"Raymond James Financial",63.67,Weak,Soft,Strengthening,3,+0.50%,unch,+8.38%,-13.03%,11.58%,122.89%,61.58%
RL,"Ralph Lauren Corp",72.68,Weak,Average,Strengthening,3.94,+6.69%,+6.63%,+15.05%,-7.91%,-46.74%,-14.71%,-15.26%
RMD,"Resmed Inc",165.16,Soft,Weak,Strengthening,3.33,+6.90%,+3.26%,+5.95%,136.48%,151.39%,50.41%,67.63%
ROK,"Rockwell Automation Inc",168.59,Soft,Weak,Strongest,3,+4.69%,+4.80%,-3.32%,9.77%,50.35%,40.52%,1.08%
ROL,"Rollins Inc",38.96,Average,Soft,Strongest,3.67,unch,unch,-6.67%,54.60%,130.81%,73.81%,42.78%
ROP,"Roper Industries",321.97,Soft,Weak,Strengthening,4.33,+3.13%,+0.99%,+18.71%,53.50%,89.48%,103.27%,51.20%
ROST,"Ross Stores Inc",91.72,Soft,Weak,Strengthening,4.32,+6.19%,+1.79%,+0.89%,41.33%,75.74%,107.24%,45.26%
RSG,"Republic Services",80.28,Soft,Soft,Strongest,4.08,+7.06%,+1.28%,+1.39%,26.66%,94.71%,70.41%,17.19%
RTX,"Raytheon Technologies Corp.",66.07,Soft,Weak,Strengthening,4.27,+8.87%,+7.84%,+9.14%,-2.61%,-3.59%,18.68%,18.35%
SBAC,"SBA Communications",314.83,Strong,Strong,Strongest,4.55,+9.14%,+12.37%,+9.52%,154.35%,159.80%,"1,700.00%",31.94%
SBUX,"Starbucks Corp",77.1,Average,Weak,Strongest,3.71,unch,+8.33%,+7.14%,27.21%,48.73%,112.78%,61.17%
SCHW,"The Charles Schwab Corp",35.79,Weak,Weak,Strengthening,3.86,-3.08%,+13.85%,unch,-6.63%,18.82%,186.32%,76.97%
SEE,"Sealed Air Corp",29.5,Soft,Weak,Strengthening,3.89,+1.59%,+25.00%,+3.51%,-32.57%,-34.06%,51.61%,-38.18%
SHW,"Sherwin-Williams Company",516.75,Average,Weak,Strongest,3.9,+2.94%,+3.46%,-0.83%,59.20%,82.84%,140.55%,60.84%
SIVB,"Svb Financial Group",173.69,Weak,Weak,Strongest,3.87,+3.21%,+22.09%,+15.01%,-5.15%,34.89%,292.24%,141.15%
SJM,"J.M. Smucker Company",121.58,Maximum,Maximum,Strengthening,3,+6.10%,-9.71%,+5.58%,-3.95%,4.53%,46.99%,39.70%
SLB,"Schlumberger N.V.",15.28,Weak,Soft,Strengthening,3.8,+5.41%,+7.50%,unch,-79.58%,-83.32%,-73.61%,-32.24%
SLG,"SL Green Realty Corp",51.26,Weak,Soft,Weakening,3.27,+1.16%,+5.20%,-2.33%,-52.39%,-60.21%,85.12%,-18.49%
SNA,"Snap-On Inc",118.33,Soft,Soft,Strongest,3.88,+0.68%,+0.31%,+3.44%,-32.46%,-23.13%,71.71%,13.80%
SNPS,"Synopsys Inc",154.98,Maximum,Average,Strongest,4.89,+42.47%,+4.84%,+5.48%,113.47%,225.52%,56.82%,63.34%
SO,"Southern Company",57.47,Soft,Weak,Strengthening,3.2,+17.54%,+11.11%,unch,14.99%,28.08%,11.07%,15.99%
SPG,"Simon Property Group",56.12,Weak,Average,Strengthening,3.54,unch,+0.34%,+0.66%,-67.37%,-70.26%,53.38%,18.16%
SPGI,"S&P Global Inc",282.59,Average,Soft,Strengthening,4.18,+5.58%,+8.00%,unch,114.86%,166.02%,145.62%,32.63%
SRE,"Sempra Energy",124.44,Weak,Weak,Strengthening,3.62,+0.67%,-7.56%,+13.61%,10.59%,13.63%,43.95%,-1.87%
STE,"Steris Corp",154.97,Average,Weak,Weakening,4,+4.76%,+10.81%,+6.25%,120.00%,119.01%,97.18%,71.50%
STT,"State Street Corp",58.49,Soft,Weak,Weakening,3.5,+16.47%,+8.63%,+3.57%,-24.72%,-23.40%,21.22%,22.87%
STX,"Seagate Tech Ord Shs",51.47,Average,Weak,Strengthening,3,+3.00%,+3.61%,+15.28%,6.65%,-11.78%,-4.37%,-24.29%
STZ,"Constellation Brands Inc",162.7,Soft,Weak,Weakest,4.23,+16.30%,+4.21%,+6.76%,-5.46%,40.70%,105.41%,38.41%
SWK,"Stanley Black & Decker Inc",112.54,Soft,Weak,Strengthening,4.47,+5.45%,+4.31%,+29.09%,-18.19%,12.78%,48.15%,27.37%
SWKS,"Skyworks Solutions",95.4,Soft,Weak,Weakening,4.17,-1.42%,+4.13%,+3.85%,-6.10%,2.15%,104.66%,47.36%
SYF,"Synchrony Financial",15.62,Weak,Average,Strengthening,4.22,+8.93%,+1.04%,+13.64%,-53.21%,-49.32%,52.67%,52.91%
SYK,"Stryker Corp",189.51,Average,Weak,Strongest,4.14,unch,+2.59%,+2.17%,42.55%,95.57%,74.63%,53.84%
SYY,"Sysco Corp",50.31,Weak,Weak,Strongest,3.67,+1.03%,+2.80%,+12.86%,-3.62%,32.64%,101.70%,29.23%
T,"AT&T Inc",31.23,Soft,Soft,Strongest,3.56,+1.08%,unch,+1.18%,-21.79%,-8.17%,42.23%,36.80%
TAP,"Molson Coors Brewing Company",44.38,Soft,Weak,Weakening,3.58,+1.37%,-7.88%,-8.77%,-53.22%,-40.93%,9.93%,155.15%
TDG,"Transdigm Group Inc",337.4,Weak,Soft,Strongest,3.56,+9.07%,+15.46%,+11.80%,40.46%,51.28%,127.96%,120.12%
TEL,"Te Connectivity Ltd",67.44,Weak,Soft,Strengthening,3.93,+1.53%,+5.63%,+11.81%,-8.38%,-2.03%,46.44%,-3.34%
TFC,"Truist Financial Corp.",33.4,Weak,Soft,Strengthening,3.93,+3.88%,+3.70%,+1.94%,-22.20%,-11.59%,52.26%,47.73%
TFX,"Teleflex Inc",346.68,Average,Weak,Strongest,4.62,+8.00%,+2.70%,+3.70%,73.76%,177.39%,94.25%,41.07%
TGT,"Target Corp",113.42,Strong,Soft,Strongest,4.37,+14.29%,+13.04%,+6.99%,107.05%,37.15%,49.65%,7.57%
TIF,"Tiffany & Company",129.15,Weak,Weak,Weakening,3,-23.53%,+6.67%,+1.98%,40.86%,48.24%,9.29%,4.10%
TJX,"TJX Companies",49.73,Soft,Weak,Strengthening,4.77,+3.03%,unch,+3.64%,26.60%,50.04%,68.99%,43.46%
TMO,"Thermo Fisher Scientific Inc",331.58,Maximum,Soft,Strengthening,4.62,+2.08%,+1.00%,+2.55%,113.87%,155.02%,77.44%,51.23%
TMUS,"T-Mobile US",90.99,Average,Weak,Strengthening,4.57,+19.59%,+30.30%,+23.16%,40.63%,165.20%,"1,240.00%",52.21%
TPR,"Tapestry Inc",15.22,Weak,Soft,Strengthening,3.65,+8.11%,unch,+2.44%,-61.08%,-64.31%,-17.10%,25.40%
TROW,"T Rowe Price Group",103.49,Weak,Soft,Strongest,3.55,+7.58%,+6.28%,+14.72%,44.16%,25.34%,80.13%,41.08%
TRV,"The Travelers Companies Inc",105.07,Weak,Weak,Strengthening,3,-39.92%,-11.01%,+2.54%,-11.78%,1.08%,-9.00%,16.27%
TSCO,"Tractor Supply Company",92.72,Soft,Weak,Strengthening,4.28,unch,-0.55%,+12.50%,41.34%,1.91%,75.94%,46.22%
TSN,"Tyson Foods",62.34,Weak,Weak,Strengthening,4.71,-1.63%,unch,+7.14%,-4.30%,61.29%,85.71%,12.84%
TT,"Trane Technologies Plc",89.91,Weak,Weak,Strengthening,3.92,+4.19%,+1.95%,+12.66%,8.29%,31.01%,91.29%,28.76%
TTWO,"Take-Two Interacti",124.44,Average,Average,Weakest,4.35,+20.97%,+51.85%,-17.95%,99.78%,396.17%,5.15%,13.52%
TWTR,"Twitter Inc",26.7,Weak,Soft,Weakening,3.35,-30.00%,+33.33%,+150.00%,82.50%,-47.46%,326.14%,146.57%
TXN,"Texas Instruments",113.55,Average,Weak,Strongest,3.42,+5.67%,+6.61%,+7.96%,42.28%,107.47%,109.60%,10.26%
TXT,"Textron Inc",27.75,Weak,Soft,Strongest,4.14,+11.76%,+9.41%,+8.57%,-40.53%,-37.23%,64.76%,-1.79%
UA,"Under Armour Inc Cl C",8.89,Weak,Soft,Strengthening,2,N/A,unch,N/A,-49.29%,0.00%,0.00%,70.77%
UAA,"Under Armour",9.85,Weak,Soft,Strengthening,3.13,+27.78%,+20.00%,N/A,-48.13%,-76.14%,-30.61%,70.77%
UAL,"United Continental Holdings",29.08,Weak,Soft,Weakening,3.73,+3.30%,+3.44%,+22.34%,-58.19%,-54.21%,138.14%,11.20%
UDR,"United Dominion Realty Trust",38.94,Soft,Weak,Strengthening,3.71,unch,unch,+2.00%,7.54%,16.20%,6.78%,40.85%
UHS,"Universal Health Services",107.79,Soft,Weak,Strengthening,3.67,-11.95%,+10.84%,-5.77%,-9.30%,-12.14%,869.90%,41.08%
ULTA,"Ulta Beauty Inc",215.51,Soft,Weak,Strongest,4.24,+5.63%,-1.08%,+0.65%,-22.89%,37.20%,199.25%,128.24%
UNH,"Unitedhealth Group Inc",290.56,Strong,Soft,Strengthening,4.61,+3.45%,+3.47%,+4.05%,69.76%,144.81%,165.09%,85.60%
UNM,"Unumprovident Corp",15.51,Weak,Soft,Strengthening,3.5,-0.73%,+1.49%,unch,-65.93%,-53.95%,52.96%,14.17%
UNP,"Union Pacific Corp",149.89,Soft,Weak,Strengthening,4.14,-3.06%,+4.72%,+2.12%,38.43%,39.42%,45.74%,-9.50%
UPS,"United Parcel Service",102.75,Average,Soft,Strongest,3.56,+0.98%,+1.55%,-2.11%,-2.86%,4.74%,58.53%,27.24%
URI,"United Rentals",105.05,Weak,Weak,Weakening,3.56,+7.78%,+5.80%,+8.17%,-5.75%,8.70%,182.49%,64.49%
USB,"U.S. Bancorp",35.06,Weak,Soft,Strengthening,3.18,unch,+3.60%,+1.87%,-30.59%,-17.97%,41.37%,27.73%
V,"Visa Inc",169.54,Weak,Weak,Strengthening,4.71,+2.80%,+3.01%,+5.65%,86.00%,151.24%,139.65%,80.89%
VAR,"Varian Medical Systems",115.75,Average,Weak,Strongest,4,unch,+15.79%,-9.48%,30.06%,21.20%,11.84%,5.75%
VFC,"V.F. Corp",57.5,Weak,Soft,Strengthening,4.13,-3.08%,+7.14%,+3.45%,2.95%,-21.98%,38.46%,12.75%
VIAC,"Viacomcbs Inc. Cl B",15.8,Weak,Soft,Strengthening,3.68,+4.40%,+2.65%,-0.72%,-76.36%,-74.81%,69.26%,101.45%
VLO,"Valero Energy Corp",51.76,Soft,Weak,Strengthening,4.92,+9.63%,+10.22%,+70.00%,-20.65%,-13.81%,-14.67%,-17.21%
VMC,"Vulcan Materials Company",112.03,Soft,Weak,Weakening,3.94,-1.18%,+2.07%,+39.39%,-7.39%,34.22%,400.00%,64.62%
VNO,"Vornado Realty Trust",42.05,Soft,Weak,Weakening,3,+2.30%,-3.19%,-13.19%,-48.27%,-51.09%,-35.21%,-26.98%
VRSK,"Verisk Analytics Inc",153.79,Average,Weak,Strongest,3.69,-0.88%,-0.90%,-0.96%,88.35%,111.60%,82.50%,49.26%
VRSN,"Verisign Inc",209.93,Maximum,Average,Strengthening,4,+9.24%,+5.08%,+5.22%,137.34%,222.77%,89.34%,21.93%
VRTX,"Vertex Pharmaceutic",270.46,Maximum,Maximum,Strongest,4.56,+11.49%,+32.00%,+30.77%,131.76%,103.05%,246.42%,617.21%
VTR,"Ventas Inc",31.29,Weak,Soft,Weakening,2.88,+2.13%,+1.04%,+3.13%,-52.43%,-57.03%,-26.42%,25.91%
VZ,"Verizon Communications Inc",58.46,Strong,Soft,Strengthening,3.73,+0.81%,+2.50%,+2.56%,23.72%,16.85%,43.58%,3.77%
WAB,"Wabtec Corp",49.25,Weak,Soft,Weakening,4.09,+3.00%,+8.16%,+32.50%,-39.31%,-49.20%,15.19%,169.34%
WAT,"Waters Corp",197.51,Soft,Weak,Strongest,2.07,unch,+1.42%,-7.51%,24.60%,59.88%,64.05%,20.97%
WBA,"Walgreens Boots Alliance",44.5,Weak,Soft,Strengthening,2.93,-2.14%,+1.42%,+3.52%,-47.04%,-48.24%,82.62%,79.16%
WDC,"Western Digital Cp",42.32,Weak,Soft,Weakening,4.33,+214.29%,+100.00%,-150.00%,-49.08%,-57.57%,-52.96%,9.51%
WEC,"Wisconsin Energy Corp",100.34,Average,Weak,Strongest,3.1,+1.37%,+5.71%,+6.40%,66.40%,96.32%,35.09%,50.55%
WELL,"Welltower Inc",49.1,Weak,Soft,Weakening,3.73,+0.96%,+0.96%,unch,-33.36%,-35.28%,75.29%,53.17%
WFC,"Wells Fargo & Company",28.38,Weak,Soft,Average,3,-16.96%,-20.00%,+12.07%,-46.45%,-48.12%,6.83%,17.59%
WHR,"Whirlpool Corp",105.33,Soft,Weak,Strongest,3.29,+0.25%,+5.53%,+2.30%,-38.59%,-46.39%,40.47%,2.75%
WLTW,"Willis Towers WT",195.39,Average,Weak,Strengthening,4.07,+0.77%,+1.14%,-0.33%,52.59%,51.71%,77.63%,137.74%
WM,"Waste Management",100.27,Soft,Soft,Strongest,4.07,+2.59%,+3.74%,+3.30%,36.64%,90.41%,77.42%,10.42%
WMB,"Williams Companies",18.08,Average,Weak,Strengthening,4.47,+8.33%,+13.04%,-8.33%,-39.75%,-65.61%,23.75%,7.39%
WMT,"Wal-Mart Stores",132.12,Maximum,Maximum,Strengthening,4.35,+6.42%,+4.10%,+10.78%,76.30%,65.48%,-2.76%,7.89%
WRB,"W.R. Berkley Corp",56.99,Soft,Soft,Strengthening,2.86,+27.27%,+28.13%,+54.10%,25.69%,71.79%,25.73%,10.85%
WRK,"Westrock Company",30.69,Weak,Weak,Weakening,4.2,+2.48%,+8.82%,+26.98%,-42.12%,0.00%,115.14%,224.79%
WU,"Western Union Company",19.93,Weak,Soft,Strongest,2.62,+4.26%,-6.25%,-7.14%,0.86%,-3.21%,8.81%,-5.62%
WY,"Weyerhaeuser Company",20.1,Soft,Weak,Strengthening,4.67,-20.00%,+60.00%,unch,-41.84%,-37.83%,-68.80%,-11.47%
WYNN,"Wynn Resorts Ltd",78.46,Soft,Weak,Strongest,4.4,-80.68%,+1.41%,+1.26%,-32.30%,-39.69%,-65.57%,21.67%
XEL,"XCEL Energy Inc",67.15,Average,Weak,Strongest,3.6,-3.81%,-13.21%,unch,49.79%,92.57%,30.05%,-1.34%
XLNX,"Xilinx Inc",89,Strong,Soft,Strengthening,3.22,+2.17%,+3.19%,-2.08%,54.27%,107.56%,63.38%,28.39%
XOM,"Exxon Mobil Corp",43.22,Soft,Weak,Strengthening,2.78,+6.25%,+7.35%,-23.61%,-46.44%,-50.30%,-70.39%,-35.69%
XRAY,"Dentsply Sirona Inc",40.86,Soft,Weak,Strengthening,4.09,+14.00%,+6.45%,+28.95%,-34.66%,-22.05%,-2.00%,37.86%
XRX,"Xerox Corp",18.12,Weak,Average,Strengthening,2.33,+27.06%,+6.45%,+7.06%,-34.54%,-42.65%,-17.06%,-53.60%
XYL,"Xylem Inc",69.59,Soft,Weak,Strengthening,3.07,unch,unch,-10.34%,37.39%,95.31%,53.30%,34.04%
YUM,"Yum! Brands",84.17,Average,Weak,Strongest,3.35,-14.89%,+5.68%,+2.50%,29.85%,34.32%,14.89%,-57.85%
ZBH,"Zimmer Biomet Holdings",118.58,Average,Weak,Strongest,4.42,+0.57%,+0.52%,+0.54%,-2.15%,-0.15%,29.87%,70.80%
ZBRA,"Zebra Technologies",202.98,Soft,Weak,Strengthening,4.22,+4.49%,+2.22%,+2.62%,123.13%,109.93%,240.00%,168.47%
ZION,"Zions Bancorp",29.08,Weak,Soft,Strengthening,3.5,+8.33%,-9.17%,-0.95%,-28.81%,5.32%,156.21%,37.41%
ZTS,"Zoetis Inc Cl A",130.72,Average,Weak,Strengthening,4.14,+5.62%,+9.76%,+11.39%,141.23%,172.84%,131.85%,30.83%
"Downloaded from Barchart.com as of 04-19-2020 07:01pm CDT"
