Symbol,Last,1M Chg,5D Chg,Earnings ttm,P/E ttm,5Y Return,5Y Rev%,Sector,Market Cap,Billions,Dividend(a),52W Low,52W Low Date,52W High,Day-2 Last,delta for current price from 52W Low,delta for current price from 52W High
RHI,38.17,-12.24,-1.7,3.9,10.34,-36.55%,29.38%,Business Services,4345780000.00,4.35,1.36,32.38,3/23/2020,69.08,40.31,15.17,44.75
RJF,58.98,-24.65,-1.8,7.5,8.59,13.08%,61.58%,Finance,8802749000.00,8.80,1.48,54.21,3/23/2020,102.45,64.4,8.09,42.43
RMD,142.29,-16.67,6.58,3.98,38.75,96.86%,67.63%,Medical,21300638000.00,21.30,1.56,96.81,4/18/2019,177.99,154.21,31.96,20.06
ROK,143.68,-39.82,-10.88,8.56,17.79,35.28%,1.08%,Computers and Technology,17533326000.00,17.53,4.08,115.38,3/23/2020,209.6,152.26,19.70,31.45
ROL,35.16,-2.28,2.57,0.73,49.1,116.67%,42.78%,Construction,11845861000.00,11.85,0.48,30.72,3/25/2020,43.91,35.84,12.63,19.93
ROP,293.66,-58.04,8.48,13.05,24.33,83.08%,51.20%,Industrial Products,33086160000.00,33.09,2.05,240,3/16/2020,395,317.46,18.27,25.66
ROST,81.09,-27.69,-0.2,4.58,18.53,68.12%,45.26%,Retail-Wholesale,31211966000.00,31.21,1.14,56.3,3/18/2020,124.16,84.87,30.57,34.69
RSG,72.71,-17.55,0.97,3.34,22.95,82.98%,17.19%,Business Services,23955624000.00,23.96,1.62,65.37,3/23/2020,100.91,76.65,10.09,27.95
TGT,95.27,-7.73,4.23,6.4,15,11.25%,7.57%,Retail-Wholesale,46574440000.00,46.57,2.64,70.03,5/14/2019,130.24,96.01,26.49,26.85
SBAC,260.47,-4.62,17.33,1.29,32.82,129.43%,31.94%,Finance,30217472000.00,30.22,1.86,193.91,4/18/2019,309.85,278.66,25.55,15.94
SBUX,62.62,-15.81,-3.19,2.87,23.64,36.47%,61.17%,Retail-Wholesale,77159032000.00,77.16,1.64,50.02,3/18/2020,99.72,67.86,20.12,37.20
SCHW,32.96,-7.79,-1.21,2.72,12.62,9.51%,76.97%,Finance,43242580000.00,43.24,0.72,28,3/16/2020,51.65,34.33,15.05,36.19
SEE,24.52,-5.79,0.5,2.81,9.16,-46.63%,-38.18%,Industrial Products,3821921000.00,3.82,0.64,17.06,3/19/2020,47.13,25.73,30.42,47.97
SHW,424.98,-91.77,-26.68,21.09,22.85,58.10%,60.84%,Construction,42185772000.00,42.19,5.36,325.43,3/18/2020,599.95,481.83,23.42,29.16
SIVB,140.01,-68.15,-24.99,21.73,7.17,19.59%,141.15%,Finance,7787721000.00,7.79,0,127.39,3/16/2020,270.95,155.78,9.01,48.33
SJM,109.6,6.61,4.41,8.27,13.38,-4.93%,39.70%,Consumer Staples,12658218000.00,12.66,3.52,91.88,3/16/2020,128.43,110.63,16.17,14.66
SLB,12.59,-14.5,-2.01,1.47,9.03,-84.86%,-32.24%,Oils-Energy,18677108000.00,18.68,2,11.87,3/19/2020,48.88,13.28,5.72,74.24
SLG,39.73,-38.71,-8.21,3.08,6.58,-66.29%,-18.49%,Finance,3358998000.00,3.36,1.18,37.5,4/1/2020,96.39,46.08,5.61,58.78
SNPS,125.96,-11.97,4.64,3.13,41.31,169.44%,63.34%,Computers and Technology,19387402000.00,19.39,0,104.9,3/23/2020,166.87,129.31,16.72,24.52
GILD,72.51,3.15,2.85,6.14,12.37,-26.54%,-9.81%,Medical,94123968000.00,94.12,2.72,60.89,10/3/2019,85.97,75.93,16.03,15.66
SPG,47.04,-76.04,-15.3,6.81,4.67,-71.32%,18.16%,Finance,17579502000.00,17.58,8.4,43.52,3/18/2020,186.4,56.27,7.48,74.76
SPGI,234.33,-31.58,7.14,9.53,25.92,133.14%,32.63%,Business Services,58982312000.00,58.98,2.68,186.05,3/18/2020,312.94,246.99,20.60,25.12
SO,50.14,-10.22,0,3.11,18.65,21.34%,15.99%,Utilities,57075904000.00,57.08,2.48,41.96,3/23/2020,71.1,57.99,16.31,29.48
STE,137.7,-20.92,19.88,5.53,25.31,98.12%,71.50%,Medical,11871276000.00,11.87,1.48,105.69,3/23/2020,168.98,139.99,23.25,18.51
STT,50.4,-17.71,1.02,6.18,8.38,-30.23%,22.87%,Finance,18875800000.00,18.88,2.08,42.1,3/18/2020,85.89,51.77,16.47,41.32
STX,47.86,-0.09,3.34,3.97,12.56,-12.20%,-24.29%,Computers and Technology,12734652000.00,12.73,2.6,39.02,3/23/2020,64.17,49.87,18.47,25.42
HSY,131.66,-12.33,5.52,5.79,23.8,32.38%,7.61%,Consumer Staples,27791610000.00,27.79,3.09,109.88,3/23/2020,162.2,137.78,16.54,18.83
SWK,92.13,-51.57,-6.13,8.39,11.96,3.63%,27.37%,Industrial Products,15402499000.00,15.40,2.76,70,3/23/2020,173.67,100.38,24.02,46.95
SWKS,82.45,-17.73,-2.89,5.52,16.32,-10.30%,47.36%,Computers and Technology,15208452000.00,15.21,1.76,66.29,6/3/2019,128.48,90.11,19.60,35.83
SYF,14.51,-14.59,-2.15,4.29,3.91,-47.40%,52.91%,Finance,9870845000.00,9.87,0.88,12.15,3/18/2020,38.18,16.77,16.26,62.00
D,69.93,-8.25,2.59,4.23,18.16,0.40%,33.26%,Utilities,60495224000.00,60.50,3.76,57.79,3/23/2020,90.89,76.81,17.36,23.06
SYY,41.87,-24.78,-3.78,3.72,12.46,19.54%,29.23%,Consumer Staples,23203266000.00,23.20,1.8,26,3/18/2020,85.98,46.35,37.90,51.30
LVS,40.3,-18.01,-7.05,3.26,13.34,-28.37%,-5.79%,Consumer Discretionary,32433702000.00,32.43,3.16,33.3,3/18/2020,74.29,43.49,17.37,45.75
TAP,37.85,-11.76,0.31,4.54,8.88,-49.92%,155.15%,Consumer Staples,8440984000.00,8.44,2.28,34.01,3/23/2020,64.32,40.3,10.15,41.15
TDG,272.54,-285.27,-77.55,18.66,18.37,43.45%,120.12%,Aerospace,17190358000.00,17.19,0,200.06,3/18/2020,673.51,342.75,26.59,59.53
TEL,59.12,-23.75,-4.37,5.46,11.67,-11.30%,-3.34%,Computers and Technology,21016614000.00,21.02,1.84,48.62,3/19/2020,101,63.72,17.76,41.47
TFC,28.47,-17.67,-2.2,4.36,7.47,-21.00%,47.73%,Finance,41479860000.00,41.48,1.8,24.01,3/16/2020,56.92,32.56,15.67,49.98
TFX,279.8,-55.22,-1.06,11.15,25.86,141.73%,41.07%,Medical,13578158000.00,13.58,1.36,221.27,3/23/2020,398.65,288.34,20.92,29.81
EMR,45.7,-18.41,-1.91,3.52,13.25,-16.18%,-25.13%,Industrial Products,29154224000.00,29.15,2,37.75,3/23/2020,78.38,46.63,17.40,41.69
TIF,129.34,-4.25,2.68,4.6,27.93,44.77%,4.10%,Retail-Wholesale,15686594000.00,15.69,2.32,78.6,8/28/2019,134.42,128.49,39.23,3.78
TJX,44.62,-15.18,0.54,2.68,17.74,39.53%,43.46%,Retail-Wholesale,57524228000.00,57.52,0.92,32.72,3/23/2020,64.95,47.55,26.67,31.30
TMO,275.2,-15.6,3.52,12.34,23.09,112.07%,51.23%,Medical,113107624000.00,113.11,0.88,250.21,3/23/2020,342.26,284.96,9.08,19.59
TMUS,85.13,-5.03,5.96,4.49,18.51,161.70%,52.21%,Utilities,71896680000.00,71.90,0,63.5,3/18/2020,101.35,83.12,25.41,16.00
TPR,11.07,-12.38,-3.83,2.53,5.22,-69.90%,25.40%,Retail-Wholesale,3574576000.00,3.57,1.35,10.51,3/23/2020,36.06,13.21,5.06,69.30
TROW,93.87,-24.14,0.88,8.06,12.26,20.59%,41.08%,Finance,23049404000.00,23.05,3.6,82.51,3/23/2020,139.82,98.83,12.10,32.86
TRV,95.2,-24.61,3.02,9.6,10.69,-7.71%,16.27%,Finance,25337330000.00,25.34,3.28,76.99,3/18/2020,155.09,102.59,19.13,38.62
