Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
M,"Macy's Inc",4.45,0.02,+0.45%,5.19,4.38,41881359,04/02/20
MA,"Mastercard Inc",238.88,10.27,+4.49%,239.37,227.35,6446638,04/02/20
MAA,"Mid-America Apartment Communities",94.25,-4.49,-4.55%,99.77,92.11,1515094,04/02/20
MAR,"Marriot Int Cl A",63,-6.15,-8.89%,70.59,61.55,8054200,04/02/20
MAS,"Masco Corp",33.01,-0.19,-0.57%,33.49,32.01,4024800,04/02/20
MCD,"McDonald's Corp",161.5,3.33,+2.11%,161.95,155,4803515,04/02/20
MCHP,"Microchip Technology",64.98,2.19,+3.49%,65.21,61.62,4007300,04/02/20
MCK,"Mckesson Corp",129.2,-3.86,-2.90%,130.76,121.15,2926026,04/02/20
MCO,"Moody's Corp",206.72,9.17,+4.64%,206.97,192,1025233,04/02/20
MDLZ,"Mondelez Intl Inc",50.38,1.7,+3.49%,50.68,48.05,6818000,04/02/20
MDT,"Medtronic Inc",86.15,2.04,+2.43%,86.5,81.33,7152578,04/02/20
MET,"Metlife Inc",28.05,0.15,+0.54%,28.98,27.44,7140467,04/02/20
MGM,"MGM Resorts International",11.51,-0.26,-2.21%,12.19,11.22,20579470,04/02/20
MHK,"Mohawk Industries",64.86,-2.06,-3.08%,71.93,63.51,1638953,04/02/20
MKC,"Mccormick & Company Inc",145.21,6.59,+4.75%,146.24,138.35,1466208,04/02/20
MKTX,"Marketaxess Holdings",347.29,13.3,+3.98%,348.06,324.09,280800,04/02/20
MLM,"Martin Marietta Materials",180.35,-5.77,-3.10%,189.33,176.01,1267517,04/02/20
MMC,"Marsh & Mclennan Companies",82.75,0.73,+0.89%,84.22,81.1,2451132,04/02/20
MMM,"3M Company",137.91,4.77,+3.58%,138.21,132.1,3990340,04/02/20
MNST,"Monster Beverage Cp",55.06,1.96,+3.69%,55.2,52.39,3088000,04/02/20
MO,"Altria Group",36.22,-1.39,-3.70%,36.55,35.34,14393748,04/02/20
MOS,"Mosaic Company",9.82,-0.29,-2.87%,11.17,9.66,6169464,04/02/20
MPC,"Marathon Petroleum Corp",21.22,0.35,+1.68%,24.8,20.94,11990433,04/02/20
MRK,"Merck & Company",76.87,3.07,+4.16%,77.12,74.03,12255544,04/02/20
MRO,"Marathon Oil Corp",3.47,0.35,+11.22%,3.74,3.15,86465044,04/02/20
MS,"Morgan Stanley",33.9,2.28,+7.21%,34,31.25,21655905,04/02/20
MSCI,"MSCI Inc",286.99,15.71,+5.79%,287.13,265.29,717903,04/02/20
MSFT,"Microsoft Corp",155.26,3.15,+2.07%,155.48,150.36,49570699,04/02/20
MSI,"Motorola Solutions",130.4,4.31,+3.42%,130.96,124.74,1239050,04/02/20
MTB,"M&T Bank Corp",95.74,-0.12,-0.13%,100.33,94.12,793444,04/02/20
MTD,"Mettler-Toledo International",655.57,-0.66999999999996,-0.10%,673.11,627.4,192848,04/02/20
MU,"Micron Technology",41.09,1.2,+3.01%,41.59,39.52,31427500,04/02/20
MXIM,"Maxim Integrated",47.76,1.74,+3.78%,47.89,45.32,2480900,04/02/20
MYL,"Mylan NV Ord Shs",13.92,-0.34,-2.38%,14.52,13.6,7656300,04/02/20
NBL,"Noble Energy Inc",6.31,0.42,+7.13%,6.76,6.01,18980500,04/02/20
NCLH,"Norwegian Cruise Ord",8.4,-1.15,-12.04%,9.9,8.08,33277216,04/02/20
NDAQ,"Nasdaq Inc",93.96,1.69,+1.83%,94.45,90.33,1237000,04/02/20
NEE,"Nextera Energy",226.45,8.22,+3.77%,229.54,214.14,2308621,04/02/20
NEM,"Newmont Mining Corp",48.23,1.76,+3.79%,49.75,46.56,9183962,04/02/20
NFLX,"Netflix Inc",370.08,6,+1.65%,370.99,360.06,4582500,04/02/20
NI,"NiSource Inc",23.49,0.43,+1.86%,23.94,22.73,4229432,04/02/20
NKE,"Nike Inc",80.14,0.91,+1.15%,81.6,77.16,12731460,04/02/20
NLOK,"Nortonlifelock Inc.",18.47,-0.29,-1.55%,18.95,18.15,6800400,04/02/20
NLSN,"Nielsen Holdings Plc",12.31,0.46,+3.88%,12.73,11.62,5474566,04/02/20
NOC,"Northrop Grumman Corp",314.29,7.3,+2.38%,314.73,301.69,1061932,04/02/20
NOV,National-Oilwell,10.06,0.71,+7.59%,10.7,9.18,6470663,04/02/20
NOW,"Servicenow Inc",259,-14.07,-5.15%,272.62,249.25,4418666,04/02/20
NRG,"NRG Energy",27.79,0.95,+3.54%,28.03,26.07,6675475,04/02/20
NSC,"Norfolk Southern Corp",143.72,3.71,+2.65%,144.11,136.65,2982390,04/02/20
NTAP,"Netapp Inc",39.53,-0.48,-1.20%,40.7,38.57,1638300,04/02/20
NTRS,"Northern Trust Corp",76.92,3.92,+5.37%,77.5,71.51,1883900,04/02/20
NUE,"Nucor Corp",35.94,0.039999999999999,+0.11%,37.07,35.07,4188172,04/02/20
NVDA,"Nvidia Corp",255.47,12.4,+5.10%,256,242.31,16844000,04/02/20
NVR,"NVR Inc",2369.97,-40.03,-1.66%,2484.43,2310.03,34024,04/02/20
NWL,"Newell Rubbermaid Inc",12.07,-0.32,-2.58%,12.73,11.79,4159100,04/02/20
NWS,"News Cp Cl B",8.17,-0.42,-4.89%,8.6,7.88,1328500,04/02/20
NWSA,"News Cp Cl A",8.2,-0.44,-5.09%,8.86,7.9,4876000,04/02/20
O,"Realty Income Corp",45.62,-0.85,-1.83%,47.11,44.38,4207269,04/02/20
ODFL,"Old Dominion Freight Line Inc.",124.21,1.88,+1.54%,125.59,119.01,1203300,04/02/20
OKE,"Oneok Inc",21.63,2.43,+12.66%,24.72,19.48,9885499,04/02/20
OMC,"Omnicom Group Inc",52.11,0.44,+0.85%,54.1,50.18,2678711,04/02/20
ORCL,"Oracle Corp",49.8,1.09,+2.24%,49.89,48.1,16434408,04/02/20
ORLY,"O'Reilly Automotive",303.49,16.24,+5.65%,303.94,288.94,1139200,04/02/20
OXY,"Occidental Petroleum Corp",12.77,2.03,+18.90%,13.91,11.2,79141574,04/02/20
PAYC,"Paycom Software Inc",181.26,-6.18,-3.30%,185.99,173.07,1359282,04/02/20
PAYX,"Paychex Inc",61.03,0.42,+0.70%,61.63,59.79,3716100,04/02/20
PBCT,"People's United Finl",10.19,-0.13,-1.26%,10.9,10.02,5903600,04/02/20
PCAR,"Paccar Inc",60.87,0.75,+1.25%,62.06,59.31,2446500,04/02/20
PEAK,"Healthpeak Properties Inc.",20.41,-0.88,-4.13%,21.65,19.9,4217632,04/02/20
PEG,"Public Service Enterprise Group Inc",45.28,2.49,+5.82%,45.54,42.19,5214834,04/02/20
PEP,"Pepsico Inc",123.86,5.74,+4.86%,125.18,116.48,5679200,04/02/20
PFE,"Pfizer Inc",32.87,1.12,+3.53%,33,31.75,25794018,04/02/20
PFG,"Principal Financial Group Inc",26.6,-0.8,-2.92%,28.14,26.09,2529400,04/02/20
PG,"Procter & Gamble Company",114.4,5.07,+4.64%,114.99,107.5,9168804,04/02/20
PGR,"Progressive Corp",76.56,4.2,+5.80%,77.54,71.74,3836411,04/02/20
PH,"Parker-Hannifin Corp",118.84,2.75,+2.37%,125.39,115.11,1460353,04/02/20
PHM,Pultegroup,19.79,-1.01,-4.86%,21.27,19.37,6392596,04/02/20
PKG,"Packaging Corp of America",83.96,0.059999999999988,+0.07%,86.73,82.56,1716532,04/02/20
PKI,Perkinelmer,72.31,1.48,+2.09%,73.97,70.01,1097986,04/02/20
PLD,"Prologis Inc",75.51,2.25,+3.07%,76.3,71.06,5395963,04/02/20
PM,"Philip Morris International Inc",74.34,3.22,+4.53%,75.06,70.12,6143485,04/02/20
PNC,"PNC Bank",90.73,3.38,+3.87%,91.97,85.86,3063549,04/02/20
PNR,"Pentair Ltd",27.74,0.38,+1.39%,29.04,26.95,1554924,04/02/20
PNW,"Pinnacle West Capital Corp",71.77,0.92999999999999,+1.31%,74.52,69.83,993337,04/02/20
PPG,"PPG Industries",80.73,0.84,+1.05%,82.32,78.01,3956296,04/02/20
PPL,"PPL Corp",22.97,0.07,+0.31%,23.55,22.35,6068194,04/02/20
PRGO,"Perrigo Company",42.8,-2.31,-5.12%,44.11,40.01,2720813,04/02/20
PRU,"Prudential Financial Inc",46.63,-0.37,-0.79%,48.91,45.57,3999475,04/02/20
PSA,"Public Storage",192.87,-3.75,-1.91%,196.17,184.73,2148515,04/02/20
PSX,"Phillips 66",51.72,2.21,+4.46%,56.1,50.06,5169006,04/02/20
PVH,"Phillips-Van Heusen Corp",31.87,-0.76,-2.33%,35.56,30.54,3786716,04/02/20
PWR,"Quanta Services",30.82,0.030000000000001,+0.10%,32.21,30.31,1893701,04/02/20
PXD,"Pioneer Natural Resources Company",75.15,7.38,+10.89%,81.48,70.41,4907243,04/02/20
PYPL,"Paypal Holdings",93.52,2.14,+2.34%,94.68,90.92,7075100,04/02/20
QCOM,"Qualcomm Inc",68.02,2.12,+3.22%,68.26,65.31,15302500,04/02/20
QRVO,"Qorvo Inc",76.66,2.08,+2.79%,76.97,73.33,1822000,04/02/20
RCL,"Royal Caribbean Cruises Ltd",24.82,-0.95,-3.69%,27.95,23.95,29239444,04/02/20
RE,"Everest Re Group",187.67,6.43,+3.55%,189.67,177.65,524413,04/02/20
REG,"Regency Centers Corp",33.2,-2.33,-6.57%,36.38,32.2,1938100,04/02/20
REGN,"Regeneron Pharmaceuticals",498.75,2.1,+0.42%,501,483.11,1058700,04/02/20
RF,"Regions Financial Corp",8.39,0.09,+1.08%,8.74,8.03,14035986,04/02/20
RHI,"Robert Half International Inc",37.83,-0.34,-0.89%,39.27,37.06,1726745,04/02/20
RJF,"Raymond James Financial",59.98,1,+1.70%,61.97,58.07,1128836,04/02/20
RL,"Ralph Lauren Corp",65.97,0.28,+0.43%,68.8,63.57,1705734,04/02/20
RMD,"Resmed Inc",150.13,7.84,+5.51%,150.63,140.29,955014,04/02/20
ROK,"Rockwell Automation Inc",149.71,6.03,+4.20%,152.3,142.47,997391,04/02/20
ROL,"Rollins Inc",35.68,0.52,+1.48%,35.77,34.02,1944318,04/02/20
ROP,"Roper Industries",305.07,11.41,+3.89%,305.07,290.42,479101,04/02/20
ROST,"Ross Stores Inc",79.4,-1.69,-2.08%,82.27,75.63,4137400,04/02/20
RSG,"Republic Services",75.23,2.52,+3.47%,75.66,71.8,1691104,04/02/20
RTN,"Raytheon Company",116.96,-5.47,-4.47%,126.85,115,9360245,04/02/20
SBAC,"SBA Communications",274.94,14.47,+5.56%,278.64,256.36,1091700,04/02/20
SBUX,"Starbucks Corp",65,2.38,+3.80%,68.7,62.91,18160500,04/02/20
SCHW,"The Charles Schwab Corp",34.39,1.43,+4.34%,34.57,32.32,15329505,04/02/20
SEE,"Sealed Air Corp",24.35,-0.17,-0.69%,25.63,23.73,1878176,04/02/20
SHW,"Sherwin-Williams Company",436.91,11.93,+2.81%,439.97,412.01,1086049,04/02/20
SIVB,"Svb Financial Group",142.95,2.94,+2.10%,149.93,136.89,532500,04/02/20
SJM,"J.M. Smucker Company",110.26,0.66000000000001,+0.60%,111.39,107.31,1218027,04/02/20
SLB,"Schlumberger N.V.",13.88,1.29,+10.25%,14.99,12.95,33976528,04/02/20
SLG,"SL Green Realty Corp",39.96,0.23,+0.58%,40.89,38.39,2463581,04/02/20
SNA,"Snap-On Inc",100.78,-3.48,-3.34%,105.4,99.04,881841,04/02/20
SNPS,"Synopsys Inc",128.65,2.69,+2.14%,128.79,124,1843300,04/02/20
SO,"Southern Company",52.4,2.26,+4.51%,52.85,49.31,5471118,04/02/20
SPG,"Simon Property Group",44.01,-3.03,-6.44%,48.48,42.25,7678995,04/02/20
SPGI,"S&P Global Inc",241.34,7.01,+2.99%,241.7,230.11,1735599,04/02/20
SRE,"Sempra Energy",106.26,2.55,+2.46%,107.64,101.18,1618104,04/02/20
STE,"Steris Corp",139.55,1.85,+1.34%,141.43,136.01,732504,04/02/20
STT,"State Street Corp",52.42,2.02,+4.01%,52.88,50.08,2855995,04/02/20
STX,"Seagate Tech Ord Shs",47.58,-0.28,-0.59%,48.81,46.15,2798200,04/02/20
STZ,"Constellation Brands Inc",131.22,-5.66,-4.14%,132.93,117.72,5828600,04/02/20
SWK,"Stanley Black & Decker Inc",95.69,3.56,+3.86%,95.85,92.59,2042047,04/02/20
SWKS,"Skyworks Solutions",83.37,0.92,+1.12%,84.1,81.1,2255500,04/02/20
SYF,"Synchrony Financial",14.31,-0.2,-1.38%,15.13,13.71,9770119,04/02/20
SYK,"Stryker Corp",149.58,4.91,+3.39%,150.5,142,2140126,04/02/20
SYY,"Sysco Corp",41.29,-0.13,-0.31%,43.47,40.41,4878223,04/02/20
T,"AT&T Inc",28.76,0.71,+2.53%,28.87,28,33818424,04/02/20
TAP,"Molson Coors Brewing Company",40,2.15,+5.68%,40.22,37.05,2559505,04/02/20
TDG,"Transdigm Group Inc",284.47,11.93,+4.38%,293.86,260,1308161,04/02/20
TEL,"Te Connectivity Ltd",58.99,-0.13,-0.22%,61.02,57.94,2410909,04/02/20
TFC,"Truist Financial Corp.",28.48,0.010000000000002,+0.04%,29.61,27.63,8909146,04/02/20
TFX,"Teleflex Inc",295.3,15.5,+5.54%,296.62,271.99,385546,04/02/20
TGT,"Target Corp",94.36,-0.91,-0.96%,95.67,92.12,5929227,04/02/20
TIF,"Tiffany & Company",129.77,0.43000000000001,+0.33%,129.94,128.23,1726601,04/02/20
TJX,"TJX Companies",43.79,-0.83,-1.86%,45.54,41.92,9665248,04/02/20
TMO,"Thermo Fisher Scientific Inc",287.55,12.35,+4.49%,287.99,272.03,1666616,04/02/20
TMUS,"T-Mobile US",84.41,-0.72,-0.85%,88.52,84.02,22954299,04/02/20
TPR,"Tapestry Inc",11.01,-0.06,-0.54%,11.3,10.18,8042946,04/02/20
TROW,"T Rowe Price Group",97.14,3.27,+3.48%,97.95,92.79,1421500,04/02/20
TRV,"The Travelers Companies Inc",97.19,1.99,+2.09%,98.93,93.9,1852315,04/02/20
TSCO,"Tractor Supply Company",84.15,0.15,+0.18%,86.71,82.24,1536900,04/02/20
TSN,"Tyson Foods",54.15,-1.19,-2.15%,55.97,52.67,2875654,04/02/20
TT,"Trane Technologies Plc",82.86,1.97,+2.44%,83.24,80.26,1404130,04/02/20
TTWO,"Take-Two Interacti",119.51,3.18,+2.73%,120.12,115.49,1725400,04/02/20
TWTR,"Twitter Inc",23.02,-0.3,-1.29%,23.58,22.36,17114777,04/02/20
TXN,"Texas Instruments",102.02,5.13,+5.29%,102.22,96.1,8353000,04/02/20
TXT,"Textron Inc",24.5,-0.36,-1.45%,26.66,23.85,2204732,04/02/20
UA,"Under Armour Inc Cl C",6.89,-0.56,-7.52%,7.57,6.6,5159910,04/02/20
UAA,"Under Armour",7.79,-0.47,-5.69%,8.42,7.5,6708865,04/02/20
UAL,"United Continental Holdings",23.42,-2.23,-8.69%,26.09,23,24926799,04/02/20
UDR,"United Dominion Realty Trust",31.95,-1.03,-3.12%,34.01,31.09,2190213,04/02/20
UHS,"Universal Health Services",88.71,0.78999999999999,+0.90%,94.65,84.86,965384,04/02/20
ULTA,"Ulta Beauty Inc",161.35,-0.15,-0.09%,164.8,153.29,1233100,04/02/20
UNH,"Unitedhealth Group Inc",240.44,3.12,+1.31%,242,226.03,4636962,04/02/20
UNM,"Unumprovident Corp",12.96,-0.14,-1.07%,14.11,12.6,3040856,04/02/20
UNP,"Union Pacific Corp",141.8,5.31,+3.89%,142.37,134.8,6009043,04/02/20
UPS,"United Parcel Service",93.04,2.65,+2.93%,93.56,88.35,4039894,04/02/20
URI,"United Rentals",96.16,0.17999999999999,+0.19%,103.5,93.25,2133049,04/02/20
USB,"U.S. Bancorp",32.67,0.74,+2.32%,33.08,31.45,8497624,04/02/20
UTX,"United Technologies Corp",86.01,-5.36,-5.87%,92.25,85.11,13203257,04/02/20
V,"Visa Inc",157.39,4.28,+2.80%,158.35,151.29,14051131,04/02/20
VAR,"Varian Medical Systems",97.62,3.18,+3.37%,98.48,92.24,939763,04/02/20
VFC,"V.F. Corp",49.12,0.44,+0.90%,50.84,47.8,3393016,04/02/20
VIAC,"Viacomcbs Inc. Cl B",12.76,-0.02,-0.16%,13.94,12.52,13334400,04/02/20
VLO,"Valero Energy Corp",41.5,0.5,+1.22%,46,40.5,8098300,04/02/20
VMC,"Vulcan Materials Company",107.3,0.17999999999999,+0.17%,110.88,104.32,2667230,04/02/20
VNO,"Vornado Realty Trust",31.36,-2.3,-6.83%,33.68,30.31,3714497,04/02/20
VRSK,"Verisk Analytics Inc",142.99,2.21,+1.57%,144.33,134.45,1044300,04/02/20
VRSN,"Verisign Inc",181.8,6.34,+3.61%,183.04,171.72,671200,04/02/20
VRTX,"Vertex Pharmaceutic",242.16,16.68,+7.40%,242.96,222.39,2503900,04/02/20
VTR,"Ventas Inc",23.01,0.060000000000002,+0.26%,23.99,21.48,4817380,04/02/20
VZ,"Verizon Communications Inc",55.25,2.33,+4.40%,55.5,53.09,20159395,04/02/20
WAB,"Wabtec Corp",43.84,-2.28,-4.94%,46.45,42.65,2498931,04/02/20
WAT,"Waters Corp",186.03,3.72,+2.04%,189.74,178.52,443610,04/02/20
WBA,"Walgreens Boots Alliance",40.32,-2.71,-6.30%,41.38,39.4,18887900,04/02/20
WDC,"Western Digital Cp",38.4,-0.27,-0.70%,40.69,37.43,5422400,04/02/20
WEC,"Wisconsin Energy Corp",88.01,4.49,+5.38%,88.62,80.58,1885665,04/02/20
WELL,"Welltower Inc",38.79,-1.81,-4.46%,42.1,37.57,3825358,04/02/20
WFC,"Wells Fargo & Company",27.22,0.65,+2.45%,27.53,26.38,33113517,04/02/20
WHR,"Whirlpool Corp",81.63,1.03,+1.28%,83.35,78.79,1139279,04/02/20
WLTW,"Willis Towers WT",158.41,2.22,+1.42%,162.38,153.15,1053500,04/02/20
WM,"Waste Management",91.14,2.71,+3.06%,91.88,87.35,3859558,04/02/20
WMB,"Williams Companies",14.38,1.05,+7.88%,15.21,13.6,23678162,04/02/20
WMT,"Wal-Mart Stores",118.65,4.51,+3.95%,119.11,112.33,9838492,04/02/20
WRB,"W.R. Berkley Corp",50.68,0.44,+0.88%,52.09,49.52,1432140,04/02/20
WRK,"Westrock Company",26.79,0.079999999999998,+0.30%,27.68,26.17,3782105,04/02/20
WU,"Western Union Company",17.85,0.25,+1.42%,18.76,17.52,8495367,04/02/20
WY,"Weyerhaeuser Company",15.84,-0.28,-1.74%,16.48,15.5,7303898,04/02/20
WYNN,"Wynn Resorts Ltd",52.67,-1.33,-2.46%,56.4,51.55,4685200,04/02/20
XEL,"XCEL Energy Inc",60.42,2.34,+4.03%,61.1,57.11,3525100,04/02/20
XLNX,"Xilinx Inc",79.15,2.46,+3.21%,79.36,75.7,2840100,04/02/20
XOM,"Exxon Mobil Corp",40.4,2.87,+7.65%,41.96,37.9,62000144,04/02/20
XRAY,"Dentsply Sirona Inc",37.47,0.16,+0.43%,38.37,36.76,2911900,04/02/20
XRX,"Xerox Corp",18.48,0.88,+5.00%,19.17,16.9,6637035,04/02/20
XYL,"Xylem Inc",63.4,3.63,+6.07%,64.1,59.18,2030607,04/02/20
YUM,"Yum! Brands",66.05,-1.6,-2.37%,68.94,64.54,3399721,04/02/20
ZBH,"Zimmer Biomet Holdings",92.71,3.08,+3.44%,94.98,88,1633663,04/02/20
ZBRA,"Zebra Technologies",174.24,-2.22,-1.26%,179.75,170.63,599600,04/02/20
ZION,"Zions Bancorp",25.39,0.07,+0.28%,26.6,25,2671500,04/02/20
ZTS,"Zoetis Inc Cl A",116.03,4.11,+3.67%,116.3,110.87,2404140,04/02/20
"Downloaded from Barchart.com as of 04-02-2020 07:18pm CDT"
